# SPDX-License-Identifier: MIT OR Apache-2.0
# index\tid\tprompt\tsemantic_group\tlength_m\twidth_m\theight_m\trelative_uncertainty\tcalibration_axis\tcalibration_weight\ttext_aware\tenvironment_class\tdimension_basis
0	person	person	PERSON_OR_MOBILITY_AID	1.75	0.5	0.3	0.05	HEIGHT	0.2744	false	BOTH	explicit representative size
1	face	face	PERSON_OR_MOBILITY_AID	0.24	0.16	0.12	0.08	HEIGHT	0.2576	false	BOTH	explicit representative size
2	hand	hand	PERSON_OR_MOBILITY_AID	0.2	0.1	0.05	0.1	HEIGHT	0.252	false	BOTH	explicit representative size
3	child	child	PERSON_OR_MOBILITY_AID	1.2	0.4	0.25	0.06	HEIGHT	0.2632	false	BOTH	explicit representative size
4	adult	adult	PERSON_OR_MOBILITY_AID	1.75	0.5	0.3	0.05	HEIGHT	0.2688	false	BOTH	explicit representative size
5	crowd	crowd	PERSON_OR_MOBILITY_AID	5.0	3.0	2.0	0.28	NONE	0.0	false	BOTH	explicit representative size
6	queue	queue	PERSON_OR_MOBILITY_AID	3.0	1.0	1.8	0.3	NONE	0.0	false	BOTH	explicit representative size
7	guide_dog	guide dog	PERSON_OR_MOBILITY_AID	0.7	0.3	0.6	0.1	BOTH	0.315	false	BOTH	explicit representative size
8	service_dog	service dog	PERSON_OR_MOBILITY_AID	0.7	0.3	0.6	0.1	BOTH	0.315	false	BOTH	explicit representative size
9	cane	cane	PERSON_OR_MOBILITY_AID	0.9	0.03	0.03	0.05	NONE	0.0	false	BOTH	explicit representative size
10	walker	walker	PERSON_OR_MOBILITY_AID	1.0	0.55	0.95	0.1	BOTH	0.315	false	BOTH	explicit representative size
11	wheelchair	wheelchair	PERSON_OR_MOBILITY_AID	1.05	0.7	0.95	0.05	BOTH	0.3325	false	BOTH	explicit representative size
12	stroller	stroller	PERSON_OR_MOBILITY_AID	1.0	0.6	1.0	0.1	BOTH	0.315	false	BOTH	explicit representative size
13	crutch	crutch	PERSON_OR_MOBILITY_AID	1.4	0.15	0.1	0.1	NONE	0.0	false	BOTH	explicit representative size
14	chair	chair	INTERIOR_STRUCTURE	0.45	0.45	0.9	0.06	BOTH	0.3572	false	INDOOR	explicit representative size
